id,name,url
6,上海酉辰信息技术有限公司,ucarslife.com
7,乾玺贸易（上海）有限公司,www.evisu.com.cn
9,锐利贸易集团有限公司,www.rlmyjt.com
13,上海偲祎商贸有限公司,renoner.cn
14,上海助美信息科技有限公司,zhumeiwang.com
15,上海助美信息科技有限公司,zhumeiwang.net
16,上海助美信息科技有限公司,zhumeiwang.cn
19,买道传感科技（上海）有限公司,51mydao.com
21,上海研酷新材料科技有限公司,shuyanku.com
22,上海迪奈尔服饰有限公司,dinai22.top
25,上海宝尊电子商务有限公司,www.shop.philips.com.cn
26,上海越铁文化发展有限公司,www.bookis.cn
27,上海宝尊电子商务有限公司,shop.philips.com.cn
28,鹏卫齐商业（上海）有限公司,www.calvinklein.cn
29,督威贸易（上海）有限公司,vedett.cn
31,锐利贸易集团有限公司,rlmyjt.com.cn
32,锐利贸易集团有限公司,rlmy.com.cn
34,懿奈（上海）生物科技有限公司,uniskin.com.cn
35,懿奈（上海）生物科技有限公司,timegenes.com
36,上海欢兽实业有限公司,www.taojiji.com
37,上海夏蛙网络科技有限公司,www.wawaly.com
38,上海宝尊电子商务有限公司,ufsstore.jumbomart.cn
39,上海宝尊电子商务有限公司,nokiaphone.com.cn
40,芬廸（上海）商业有限公司,www.fendi.cn
41,晟慕（上海）商贸有限公司,www.sandro-paris.cn
42,晟慕（上海）商贸有限公司,www.maje.cn
44,上海逦凡贸易有限公司,lif22.top
48,恩思恩时尚（中国）商贸有限公司,mcmworldwide.com
50,上海三艺生物科技有限公司,yes3e.cn
52,上海棋至文化传播有限公司,artbloger.com
53,上海棋至文化传播有限公司,88artwang.com
54,上海凡仕食品有限公司,incake.com.cn
56,上海青悠国际旅行社有限公司,wyywz.com
61,上海聚奇市场经营管理股份有限公司,hygwang.com
63,上海佐赞网络科技有限公司,renqizhu.cn
64,上海佐赞网络科技有限公司,linlangxiu.cn
73,弥尚商贸（上海）有限公司,www.alexanderwang.cn
74,弥尚商贸（上海）有限公司,www.balenciaga.cn
75,弥尚商贸（上海）有限公司,www.bottegaveneta.cn
76,泰浦陛迪（上海）商贸有限公司,www.tempurchina.com
78,爱马仕（上海）商贸有限公司,www.hermes.cn
81,上海久茗贸易有限公司,www.teaex-sh.cn
82,上海欢尚电子商务有限公司,www.shandjj.com
84,爱芙趣商贸（上海）有限公司,hollisterco.cn
88,历峰贸易（上海）有限公司,weboutique.montblanc.cn
89,历峰贸易（上海）有限公司,weboutique.piaget.cn
90,历峰贸易（上海）有限公司,weboutique.cartier.cn
91,历峰贸易（上海）有限公司,weboutique.vancleefarpels.com
92,历峰贸易（上海）有限公司,weboutique.jaeger-lecoultre.com
93,历峰贸易（上海）有限公司,weboutique.panerai.cn
94,爱马仕（上海）商贸有限公司,hermes.com
95,上海弥尚信息技术有限公司,ferrarishop.cn
96,上海诺奎山信息技术有限公司,nksmy.tmall.com
97,赐威贸易（上海）有限公司,ilr.com.tw
101,莱珀妮商贸（上海）有限公司,laprairie.com.cn
102,上海弥尚信息技术有限公司,yoox.cn
104,慧讯光学商贸（上海）有限公司,gunnaroptiks.cn
107,上海奥赢贸易有限公司,shyt1688.com
109,上海弥尚信息技术有限公司,www.brioni.cn
112,上海信贺贸易有限公司,www.lookcc.cn
113,欧莱雅（中国）有限公司,www.giorgioarmanibeauty.cn
114,欧莱雅（中国）有限公司,www.kiehls.com.cn
115,欧莱雅（中国）有限公司,www.clarisonic.cn
116,欧莱雅（中国）有限公司,m.helenarubinstein.cn
117,欧莱雅（中国）有限公司,m.shuuemura.com.cn
118,欧莱雅（中国）有限公司,www.shuuemura.com.cn
119,欧莱雅（中国）有限公司,www.helenarubinstein.cn
120,欧莱雅（中国）有限公司,m.vichy.com.cn
121,欧莱雅（中国）有限公司,www.mybeautybox.cn
122,上海弥尚信息技术有限公司,www.theoutnet.cn
123,欧莱雅（中国）有限公司,www.yslbeautycn.com
